Seq,Priority,Effort (hours),As a…,I want to…,So that…,Initials,Review by Team,Review
29,1,0.5,Teacher,Be able to classify my class according to contact-level/risk amongst students,"I can prioritize my class as necessary, and provide the appropriate protection/precaution for my students",NE,TRUE,
30,1,2,Teacher,Know which of my students have tested positive or have come in contact with COVID,"I can maintain appropriate contact with these students, and adjust hands-on/highly physical lessons if COVID spread among a student population is high",NE,TRUE,
31,2,1,School District Official,Be able to track easily how many people have been at-risk,I know what areas need more precautions and what type medical equipment I could provide easily.,NK,TRUE,
32,1,1,Parent,Be notified if other teachers or admin test postive,so I know if there are classes my student may be at risk for,NK,TRUE,
33,1,1,Parent,Be able to nofitfy the school through the app if my child tests postive,I can use one application for everything covid related and not have to go through different people/platforms,NK,TRUE,
34,1,1,Parent,"Know how at risk my child is (were they right next to the student who tested positive, simply in the same classroom)",I have a better understanding of how in danger my student is and can make a better call for next steps for my student and family,NK,TRUE,
35,1,1,Parent,Be notified when my child may have been exposed to COVID,I can keep an eye on them and my family for symptoms and get my child tested,NK,TRUE,
36,1,0.5,Student,I want to be reminded of COVID protocols if contacted as a person with possible exposure,"I know what action to take next, whether that be stay at home, get tested etc.",NK,TRUE,
37,1,0.25,Student,be able to remain anonymous if found to be contracted with the virus,to protect my privacy,NK,TRUE,
38,1,1,Student,be able to input friends outside of my class that I spend time with/am close with,they can also be notified of potential exposure,NK,TRUE,
39,2,2,Student,be able to access the application on my phone and computer,so I can use it whenever I need to wherever I am,NK,TRUE,
40,2,1,Teacher,Be able to make changes to rosters and layouts,"when seating arrangements change, it is easy for me to reflect those in the application without having to spend too much extra time",NK,TRUE,
41,2,0.5,Custodian,Know which seats and other materials have been used by at-risk students,I can be able to clean the required materials and throw away anything that could not be used again.,RP,TRUE,
42,3,0.25,Mayor,Gain access to a list of students from the ISDs in the city,I can understand what medical needs I can help with by sending more supplies to those schools,RP,TRUE,
43,1,1,Parent,Know where my child was and who else they could have infected.,I will be able to take the nesscary precautions so that others who migh have been infected by my child are not subject to my child coming back until they do not test positive again.,RP,TRUE,
44,1,1.25,School Administrator,Be able to give out a list of students who are at-risk to teachers and parents,I can talk to those parents and teacher about what the kids might be missing and how to given them access to resource for those activites. ,RP,TRUE,
45,2,1,School Bus Driver,Be able to know which students on my bus might be positive,If need be I can split the bus up so that those who were not at-risk did not have to be near those who were at-risk,RP,TRUE,
46,3,1,School District Leader,Be able to be notified of all at-risk studnets at different schools ,I can send out emails notifing those schools that they have # of cases. ,RP,TRUE,
47,2,1,School Nurse,Understand what type of possible medical needs that I could provide the students,I can provide some basic medical help with those who might have sudden syptoms that are bad.,RP,TRUE,
48,3,0.25,State Offical,Have access to a complete list of all schools and students that were at-risk,I can notify all of my citizens about our possible rise in cases and what they can do to help slow the spread byt wearing masks and getting vacinated.,RP,TRUE,
49,1,1,Student,Get an email that puts me on a list of possible at-risk student,I can be on a list that my teachers can access and be able to recieve my school work that i would be missing.,RP,TRUE,
50,1,0.5,Teacher,Gain easy access to a given list of students that are at-risk,I can be able to understand who might be out of my class and be able to send school material to them at home.,RP,TRUE,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,,
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
